SOURCE http://www.openprinting.org/foomatic-db/db/source/printer/
Filtered and aggregated by Raspebrry (Jan 2021)
This list contains the filename as stored on www.openprinting.org/foomatic-db/db/source/printer/
and the XML-tag <ieee1284></ieee1284> separated by '|'
Brother-PT-2420PC.xml|MFG:Brother;CMD:PT-CBP;MDL:2420PC;CLS:PRINTER;
Brother-PT-2450DX.xml|MFG:Brother;CMD:PT-CBP;MDL:2450DX;CLS:PRINTER;
Brother-PT-2500PC.xml|MFG:Brother;CMD:PT-CBP;MDL:2500PC;CLS:PRINTER;
Brother-PT-2600.xml|MFG:Brother;CMD:PT-CBP;MDL:2600;CLS:PRINTER;
Brother-PT-2610.xml|MFG:Brother;CMD:PT-CBP;MDL:2610;CLS:PRINTER;
Brother-PT-3600.xml|MFG:Brother;CMD:PT-CBP;MDL:3600;CLS:PRINTER;
Brother-PT-550A.xml|MFG:Brother;CMD:PT-CBP;MDL:550A;CLS:PRINTER;
Brother-PT-9200DX.xml|MFG:Brother;CMD:PT-CBP;MDL:9200DX;CLS:PRINTER;
Brother-PT-9200PC.xml|MFG:Brother;CMD:PT-CBP;MDL:9200PC;CLS:PRINTER;
Brother-PT-9400.xml|MFG:Brother;CMD:PT-CBP;MDL:9400;CLS:PRINTER;
Brother-PT-9500PC.xml|MFG:Brother;CMD:PT-CBP;MDL:9500PC;CLS:PRINTER;
Brother-PT-9600.xml|MFG:Brother;CMD:PT-CBP;MDL:9600;CLS:PRINTER;
Brother-PT-PC.xml|MFG:Brother;CMD:PT-CBP;MDL:PC;CLS:PRINTER;
Brother-QL-500.xml|MFG:Brother;CMD:PT-CBP;MDL:QL-500;CLS:PRINTER;
Brother-QL-550.xml|MFG:Brother;CMD:PT-CBP;MDL:QL-550;CLS:PRINTER;
Brother-QL-650TD.xml|MFG:Brother;CMD:PT-CBP;MDL:QL-650TD;CLS:PRINTER;
Canon-BJC-2100.xml|MFG:Canon;MDL:BJC-2100;
Canon-i450.xml|MFG:Canon;CMD:BJL,BJRaster3,BSCC,TXT01;MDL:i450;CLS:PRINTER;DES:Canon i450;VER:1.00;STA:20;
Canon-iPR_C600.xml|MFG:Canon;MDL:iPR C600;
Canon-iPR_C650_PPD.xml|MFG:Canon;MDL:ipr c650 ppd;
Canon-iPR_C700_800.xml|MFG:Canon;MDL:iPR C700/800;
Canon-iPR_C750_850_PPD.xml|MFG:Canon;MDL:ipr c750/850 ppd;
Canon-iR-ADV_400_500.xml|MFG:Canon;MDL:iR-ADV 400/500;
Canon-iR-ADV_4025_4035.xml|MFG:Canon;MDL:iR-ADV 4025/4035;
Canon-iR-ADV_4045_4051.xml|MFG:Canon;MDL:iR-ADV 4045/4051;
Canon-iR-ADV_4225_4235.xml|MFG:Canon;MDL:iR-ADV 4225/4235;
Canon-iR-ADV_4245_4251.xml|MFG:Canon;MDL:iR-ADV 4245/4251;
Canon-iR-ADV_6055_6065.xml|MFG:Canon;MDL:iR-ADV 6055/6065;
Canon-iR-ADV_6075.xml|MFG:Canon;MDL:iR-ADV 6075;
Canon-iR-ADV_6255_6265.xml|MFG:Canon;MDL:iR-ADV 6255/6265;
Canon-iR-ADV_6275.xml|MFG:Canon;MDL:iR-ADV 6275;
Canon-iR-ADV_8085_8095.xml|MFG:Canon;MDL:iR-ADV 8085/8095;
Canon-iR-ADV_8105.xml|MFG:Canon;MDL:iR-ADV 8105;
Canon-iR-ADV_8205.xml|MFG:Canon;MDL:iR-ADV 8205;
Canon-iR-ADV_8285_8295.xml|MFG:Canon;MDL:iR-ADV 8285/8295;
Canon-iR-ADV_C2020i_2030i.xml|MFG:Canon;MDL:iR-ADV C2020i/2030i;
Canon-iR-ADV_C2020_2030.xml|MFG:Canon;MDL:iR-ADV C2020/2030;
Canon-iR-ADV_C2025.xml|MFG:Canon;MDL:iR-ADV C2025;
Canon-iR-ADV_C2220_2230.xml|MFG:Canon;MDL:iR-ADV C2220/2230;
Canon-iR-ADV_C2225.xml|MFG:Canon;MDL:iR-ADV C2225;
Canon-iR-ADV_C250_350.xml|MFG:Canon;MDL:iR-ADV C250/350;
Canon-iR-ADV_C3320.xml|MFG:Canon;MDL:iR-ADV C3320;
Canon-iR-ADV_C3320L.xml|MFG:Canon;MDL:iR-ADV C3320L;
Canon-iR-ADV_C3325_3330.xml|MFG:Canon;MDL:iR-ADV C3325/3330;
Canon-iR-ADV_C351.xml|MFG:Canon;MDL:iR-ADV C351;
Canon-iR-ADV_C5030_5035.xml|MFG:Canon;MDL:iR-ADV C5030/5035;
Canon-iR-ADV_C5045_5051.xml|MFG:Canon;MDL:iR-ADV C5045/5051;
Canon-iR-ADV_C5235_5240.xml|MFG:Canon;MDL:iR-ADV C5235/5240;
Canon-iR-ADV_C5250_5255.xml|MFG:Canon;MDL:iR-ADV C5250/5255;
Canon-iR-ADV_C7055_7065.xml|MFG:Canon;MDL:iR-ADV C7055/7065;
Canon-iR-ADV_C7260_7270.xml|MFG:Canon;MDL:iR-ADV C7260/7270;
Canon-iR-ADV_C7280.xml|MFG:Canon;MDL:iR-ADV C7280;
Canon-iR-ADV_C9060_9070.xml|MFG:Canon;MDL:iR-ADV C9060/9070;
Canon-iR-ADV_C9065_9075.xml|MFG:Canon;MDL:iR-ADV C9065/9075;
Canon-iR-ADV_C9270_9280.xml|MFG:Canon;MDL:iR-ADV C9270/9280;
Canon-LBP6670.xml|MFG:Canon;MDL:LBP6670;
Canon-LBP6680_3480.xml|MFG:Canon;MDL:LBP6680/3480;
Canon-LBP6780_3580.xml|MFG:Canon;MDL:LBP6780/3580;
Canon-LBP710C_PPD.xml|MFG:Canon;MDL:lbp710c ppd;
Canon-LBP712C_PPD.xml|MFG:Canon;MDL:lbp712c ppd;
Canon-LBP7660C.xml|MFG:Canon;MDL:LBP7660C;
Canon-LBP7680C_5280.xml|MFG:Canon;MDL:LBP7680C/5280;
Canon-LBP7780C_5480.xml|MFG:Canon;MDL:LBP7780C/5480;
Canon-LBP8780.xml|MFG:Canon;MDL:LBP8780;
Dell-1110.xml|MFG:Dell;CMD:GDI;MDL:Laser Printer 1110;CLS:PRINTER;MODE:GDI;STATUS:IDLE;
Dell-3010cn.xml|MFG:Dell;CMD:PJL,RASTER,DOWNLOAD,DPL;MDL:Color Laser 3010cn;DES:Dell Color Laser 3010cn;CLS:PRINTER;STS:AAAMAwAAAAAAAgJ/ZCNkI2QjZCNkAwAzcJoAAAAAwAAAAAAAAAAQDA==;
Dell-3100cn.xml|MFG:Dell;CMD:PJL,RASTER,DOWNLOAD,PCLXL,PCL,POSTSCRIPT;MDL:Laser Printer 3100cn;DES:Dell Laser Printer 3100cn;CLS:PRINTER;
Dell-C1765.xml|MFG:Xerox;CMD:SPLC;MDL:Phaser 6110;CLS:PRINTER;STATUS:BUSY;
Epson-1430_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Photo 1430;CLS:PRINTER;DES:EPSON Epson Stylus Photo 1430
Epson-1500_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Photo 1500;CLS:PRINTER;DES:EPSON Epson Stylus Photo 1500
Epson-AcuLaser_CX17NF.xml|MFG:Xerox;CMD:SPLC;MDL:Phaser 6110;CLS:PRINTER;STATUS:BUSY;
Epson-AcuLaser_M1400.xml|MFG:Xerox;CMD:SPLC;MDL:Phaser 6110;CLS:PRINTER;STATUS:BUSY;
Epson-AL-2600.xml|MFG:Epson;MDL:AL-2600;
Epson-AL-C1900_PS3.xml|MFG:Epson;MDL:AL-C1900 PS3;
Epson-AL-C2000_PS3.xml|MFG:Epson;MDL:AL-C2000 PS3;
Epson-AL-C2600.xml|MFG:Epson;MDL:AL-C2600;
Epson-AL-C2800.xml|MFG:Epson;MDL:AL-C2800;
Epson-AL-C3800.xml|MFG:Epson;MDL:AL-C3800;
Epson-AL-C4000_PS3.xml|MFG:Epson;MDL:AL-C4000 PS3;
Epson-AL-C4200.xml|MFG:Epson;MDL:AL-C4200;
Epson-AL-C8600_PS3.xml|MFG:Epson;MDL:AL-C8600 PS3;
Epson-AL-C9100.xml|MFG:Epson;MDL:AL-C9100;
Epson-AL-C9200.xml|MFG:Epson;MDL:AL-C9200;
Epson-AL-CX21.xml|MFG:Epson;MDL:AL-CX21;
Epson-AL-M2000.xml|MFG:Epson;MDL:AL-M2000;
Epson-AL-M2010.xml|MFG:Epson;MDL:AL-M2010;
Epson-AL-M2400.xml|MFG:Epson;MDL:AL-M2400;
Epson-AL-M2410.xml|MFG:Epson;MDL:AL-M2410;
Epson-AL-M4000.xml|MFG:Epson;MDL:AL-M4000;
Epson-AL-M8000.xml|MFG:Epson;MDL:AL-M8000;
Epson-AL-MX20.xml|MFG:Epson;MDL:AL-MX20;
Epson-AL-MX21.xml|MFG:Epson;MDL:AL-MX21;
Epson-Artisan_1430_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Artisan 1430;CLS:PRINTER;DES:EPSON Artisan 1430
Epson-Artisan_50.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 50;CLS:PRINTER;DES:EPSON Artisan 50
Epson-Artisan_630_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Artisan 630;CLS:PRINTER;DES:EPSON Artisan 630
Epson-Artisan_700.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 700;CLS:PRINTER;DES:EPSON Artisan 700
Epson-Artisan_710.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 710;CLS:PRINTER;DES:EPSON Artisan 710
Epson-Artisan_720_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 720;CLS:PRINTER;DES:EPSON Artisan 720
Epson-Artisan_730_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Artisan 730;CLS:PRINTER;DES:EPSON Artisan 730
Epson-Artisan_800.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 800;CLS:PRINTER;DES:EPSON Artisan 800
Epson-Artisan_810.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 810;CLS:PRINTER;DES:EPSON Artisan 810
Epson-Artisan_830_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Artisan 830;CLS:PRINTER;DES:EPSON Artisan 830
Epson-Artisan_837_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Artisan 837;CLS:PRINTER;DES:EPSON Artisan 837
Epson-B42WD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office B42WD;CLS:PRINTER;DES:EPSON Epson Stylus Office B42WD
Epson-BX305_Plus_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office BX305 Plus;CLS:PRINTER;DES:EPSON Epson Stylus Office BX305 Plus
Epson-BX305_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office BX305;CLS:PRINTER;DES:EPSON Epson Stylus Office BX305
Epson-BX320FW_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office BX320FW;CLS:PRINTER;DES:EPSON Epson Stylus Office BX320FW
Epson-BX525WD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office BX525WD;CLS:PRINTER;DES:EPSON Epson Stylus Office BX525WD
Epson-BX535WD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Office BX535WD;CLS:PRINTER;DES:EPSON Epson Stylus Office BX535WD
Epson-BX620FWD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:Epson Stylus Office BX620FWD;CLS:PRINTER;DES:EPSON Epson Stylus Office BX620FWD
Epson-BX630FW_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Office BX630FW;CLS:PRINTER;DES:EPSON Epson Stylus Office BX630FW
Epson-BX635FWD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Office BX635FWD;CLS:PRINTER;DES:EPSON Epson Stylus Office BX635FWD
Epson-BX935FWD_Series.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;Epson Stylus Office BX935FWD;CLS:PRINTER;DES:EPSON Epson Stylus Office BX935FWD
Epson-E-150.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-150;CLS:PRINTER;DES:EPSON E-150
Epson-E-200.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-200;CLS:PRINTER;DES:Epson E-200
Epson-E-300.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-300;CLS:PRINTER;DES:Epson E-300
Epson-E-330.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-330;CLS:PRINTER;DES:EPSON E-330
Epson-E-330S.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-330S;CLS:PRINTER;DES:Epson E-330S
Epson-E-340.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-340;CLS:PRINTER;DES:EPSON E-340
Epson-E-350.xml|MFG:EPSON;CMD:ESCPL2,BDC,D4,D4PX,ESCPR2;MDL:E-350;CLS:PRINTER;DES:EPSON E-350
